segment_id,road_name,road_type,human_segment_id,internal_id,start_lat,start_lon,end_lat,end_lon,length_m,start_km,end_km,road_risk_score,ai_risk_label,ai_risk_probability,prob_low_risk,prob_medium_risk,prob_high_risk,prob_critical_risk,ai_recommended_speed,recommended_safe_speed,road_function_score,infrastructure_score,exposure_score,human_tolerance_limit,operating_speed_score,crash_risk_score,posted_speed_limit,pedestrian_exposure_score,blackspot_flag,crash_count,fatal_crashes,schools_count,lighting_quality,roadside_hazards,intersection_density,speed_compliance_rate,speed_violation_score,hotspot_score,hotspot_category,speed_safety_score,original_safe_speed,misalignment_score,misalignment_category,speed_p85,ptw_share_pct,exposure_tier,urban_rural_flag,lane_count,median_presence,land_use_type,top_ai_factors,congestion_index,congestion_category,congestion_smoothed,operating_speed_mean,minor_crashes,major_crashes,risk_category,final_safe_speed,corridor_base,corridor_seq
1,1 A Main Road,Urban Road,URB-00001,1,12.9142,77.627,12.9175,77.6248,439.1,0.4,0.839,38.2608,Moderate Misalignment,0.9563,0.0364,0.9725,-0.0061,-0.0041,49.8313,50.4621,86.5476,7.8218,21.8248,51.0716,96.4836,0.1562,52.1278,10.8906,No,0.0,0.0118,-0.0321,Good,High,1.8599,10.0,17.2194,25.8417,Moderate Risk,64.4883,50.4302,29.3682,Moderate Misalignment,57.8569,53.3528,Side Impact Potential,Peri-Urban,5.1827,True,Industrial,Poor Infrastructure,-0.0041,,False,50.1137,-0.0105,0.0015,Moderate Misalignment,50,1 A Main Road,1
2,1 Main Road,Urban Road,URB-00002,2,12.9553,77.5281,12.955,77.5349,844.9,0.8,1.645,29.6117,Moderate Misalignment,0.5549,0.3859,0.5916,-0.0154,0.0115,36.9005,34.9913,47.8048,11.0326,28.7967,49.4467,98.16,0.3045,29.4538,17.5463,No,0.0,-0.0077,-0.0182,Poor,Low,2.6125,10.0,23.718,27.1024,Moderate Risk,63.6637,36.9806,28.031,Moderate Misalignment,35.8013,58.6653,Side Impact Potential,Peri-Urban,1.906,False,Residential,Poor Infrastructure,0.1862,Light,False,31.7311,-0.014,0.0019,Moderate Misalignment,39,1 Main Road,1
3,10 B Cross,Urban Road,URB-00003,3,13.0395,77.6049,13.0378,77.6052,248.6,1.2,1.449,10.2997,Aligned,0.976,0.9759,0.032,-0.0016,0.0075,42.0449,43.1417,86.4119,41.1555,31.0855,71.2078,84.3059,0.0,50.0123,30.5225,No,0.0,-0.0023,0.0003,Poor,Medium,1.3392,10.0,10.4036,20.8819,Safe,76.2177,46.9193,18.4214,Aligned,46.4306,51.1105,Separated Traffic,Peri-Urban,5.9508,True,Mixed,Meets Safe System Standards,-0.0038,,False,36.7566,-0.002,-0.0053,Aligned,40,10 B Cross,1
4,100 Feet Road,State Highway,SH-00004,4,12.9824,77.6406,12.9824,77.6406,4680.2,1.6,6.28,40.247,Moderate Misalignment,0.8595,0.0984,0.8521,0.0705,0.0056,80.8456,79.7029,100.0,10.4676,20.6288,79.1001,97.0833,0.0,60.362,8.0849,No,0.0,-0.0026,0.0418,Good,Low,0.3842,10.0,24.2722,30.3669,Moderate Risk,57.8477,79.8722,40.3033,Moderate Misalignment,101.3764,50.3006,Separated Traffic,Peri-Urban,4.8846,True,Residential,Poor Infrastructure,0.163,Light,False,78.2892,-0.0096,0.0066,Moderate Misalignment,79,100 Feet Road,1
5,100 Feet Road,Urban Road,URB-00005,5,12.9546,77.4784,12.9518,77.4775,7821.0,2.0,9.821,11.8936,Aligned,0.9791,0.9574,0.0509,-0.0004,0.006,32.2018,35.4996,82.9525,15.2226,26.916,50.4649,79.8944,0.0,40.7739,18.4552,No,0.0,0.0092,-0.0353,Good,Medium,1.6184,10.0,10.7325,23.2742,Safe,71.2936,31.5713,19.4438,Aligned,34.4554,65.0129,Side Impact Potential,Urban,4.1532,True,Commercial,Poor Infrastructure,0.01,,False,29.5039,-0.0059,-0.0095,Aligned,33,100 Feet Road,2
6,100 Feet Road,Urban Road,URB-00006,6,12.8837,77.5022,12.8839,77.5019,4208.4,2.4,6.608,18.1903,Aligned,0.8241,0.8229,0.1614,0.003,-0.0037,38.3345,38.3459,27.3277,10.6782,14.4443,49.7219,96.2855,0.0142,28.8055,6.9111,No,0.0,0.0069,-0.0013,Good,Medium,2.2489,10.0,26.6739,21.8958,Safe,67.4089,37.5166,24.5191,Aligned,38.2663,32.066,Side Impact Potential,Rural,1.1126,False,Residential,Poor Infrastructure,-0.0048,,False,33.8767,0.0079,-0.0029,Aligned,39,100 Feet Road,3
7,100 Feet Road,Urban Road,URB-00007,7,13.0969,77.5546,13.0969,77.5546,2748.4,2.8,5.548,11.9694,Aligned,0.9742,1.0446,0.0166,-0.0077,0.0038,25.6916,29.2436,62.5026,65.0302,36.7877,49.0518,82.366,0.0,39.6465,34.1782,No,0.0,-0.0016,-0.0017,Poor,High,2.5852,10.0,10.0,19.4314,Safe,83.169,26.8417,17.1652,Aligned,29.8638,58.6185,Side Impact Potential,Urban,4.0359,True,Mixed,Meets Safe System Standards,0.2566,Light,False,17.8568,0.0089,0.0013,Aligned,25,100 Feet Road,4
8,100 Feet Road,Urban Road,URB-00008,8,13.0861,77.5265,13.0904,77.5264,2183.5,3.2,5.383,10.4666,Aligned,0.9917,0.9608,0.0106,0.0021,0.0098,28.7594,30.5689,54.4363,33.2071,33.4505,50.0227,72.6096,0.0,37.0309,25.1885,No,0.0,0.0009,0.0061,Good,Medium,3.2794,10.0,10.0656,22.9326,Safe,73.9178,28.0644,19.574,Aligned,28.4211,67.6867,Side Impact Potential,Urban,2.8677,False,Industrial,Poor Infrastructure,0.1696,Light,False,24.3982,-0.0256,0.0044,Aligned,29,100 Feet Road,5
9,100 Feet Road,Urban Road,URB-00009,9,13.0921,77.534,13.0922,77.5335,60.6,3.6,3.661,20.4016,Aligned,0.6214,0.6639,0.3612,0.0102,0.0032,66.3219,65.9721,98.2094,20.418,22.6171,81.1434,53.9554,0.7649,60.0,9.1007,No,0.0,0.0058,-0.0217,Poor,High,0.568,10.0,10.0,26.5833,Moderate Risk,64.4239,65.5527,31.9082,Moderate Misalignment,66.3217,57.8738,Separated Traffic,Urban,6.8758,True,Commercial,Poor Infrastructure | Above Human Tolerance Limit,0.0015,,False,59.9408,0.0072,-0.0118,Aligned,65,100 Feet Road,6
10,10th C Main Road,Urban Road,URB-00010,10,12.9755,77.5535,12.9801,77.5551,548.4,4.0,4.548,11.9333,Aligned,0.9214,0.9107,0.0904,0.0091,0.0031,52.5961,52.7853,99.1674,0.3145,11.9679,81.2941,69.1113,0.6488,59.435,4.7048,No,0.0,0.0085,0.0022,Good,Low,0.1197,10.0,10.3649,20.1464,Safe,69.5641,53.7696,16.9919,Aligned,53.9165,33.3656,Separated Traffic,Rural,5.2429,True,Residential,Poor Infrastructure,0.2461,Light,False,35.2369,-0.0096,0.0033,Aligned,53,10th C Main Road,1
11,10th Cross Road,Urban Road,URB-00011,11,13.0039,77.5492,13.004,77.55,927.5,4.4,5.328,9.6637,Aligned,0.9958,0.9637,0.0158,-0.0242,0.0026,30.3999,31.2416,27.4029,8.2697,17.7791,50.2307,92.185,0.0,28.8758,12.7186,No,0.0,0.005,0.0683,Poor,Low,0.8513,10.0,10.0,20.8606,Safe,70.3736,31.6244,18.4946,Aligned,29.772,40.0577,Side Impact Potential,Rural,1.0839,False,Mixed,Poor Infrastructure,0.0081,,False,22.34,-0.0057,0.0153,Aligned,30,10th Cross Road,1
12,10th Cross Road,Urban Road,URB-00012,12,12.9459,77.5956,12.9499,77.5987,556.8,4.8,5.357,10.2314,Aligned,0.9956,0.9786,0.0605,-0.013,0.0061,27.9319,29.3752,54.3161,0.5692,14.1361,52.2327,71.9038,0.0,59.4421,5.603,No,0.0,0.0034,-0.0038,Poor,High,1.3341,10.0,10.6149,20.188,Safe,69.5544,28.6105,18.6767,Aligned,28.5841,33.2065,Side Impact Potential,Rural,3.9038,False,Residential,Poor Infrastructure,0.1659,Light,False,21.5617,0.011,0.0097,Aligned,27,10th Cross Road,2
13,10th Cross Road,Urban Road,URB-00013,13,13.0044,77.5613,13.0061,77.5542,784.2,5.2,5.984,12.6643,Aligned,0.9785,0.9055,0.0025,-0.0,-0.0126,42.6321,43.2139,87.2102,39.8978,30.8966,49.6762,78.3529,0.1656,49.5016,23.7033,No,0.0,-0.0058,-0.0033,Good,Medium,1.9337,10.0,10.0,21.4473,Safe,77.3871,41.2855,19.849,Aligned,41.4489,57.2985,Side Impact Potential,Urban,4.9264,True,Residential,Meets Safe System Standards,-0.007,,False,33.9587,0.0143,0.0012,Aligned,43,10th Cross Road,3
