segment_id,road_name,road_class,highway,length_m,start_node,end_node,connected_segment_ids
NH_00001,20th Main Road,National Highway,trunk_link,534.5,"12.906418,77.582735","12.906363,77.587641","NH_00114,URB_00190"
NH_00002,BGS Flyover,National Highway,trunk,2756.1,"12.963385,77.581938","12.960579,77.557402","URB_01620,URB_01629"
NH_00003,BGS Flyover,National Highway,trunk,2826.7,"12.960652,77.557329","12.963981,77.582395",URB_01621
NH_00004,Bangalore-Mysore Road,National Highway,trunk,115.0,"12.917721,77.490715","12.918587,77.491127",URB_01437
NH_00005,Bannerghatta Road,National Highway,primary,16441.1,"12.849288,77.588287","12.902120,77.601161",NH_00138
NH_00006,Bannerghatta Road,National Highway,primary,4355.4,"12.916824,77.599870","12.937050,77.601556","NH_00087,SH_00223,SH_00225,SH_00228"
NH_00007,Bannerghatta Road,National Highway,secondary,3131.5,"12.937251,77.601608","12.952663,77.605233","NH_00050,SH_00228,SH_00229,SH_00231"
NH_00008,Bellary Road,National Highway,primary,1699.1,"13.010765,77.583899","13.010075,77.583799","NH_00062,NH_00236,SH_00175"
NH_00009,Bellary Road,National Highway,trunk,1011.4,"13.025492,77.585295","13.016605,77.584026","NH_00036,NH_00062,NH_00248,URB_00736,URB_01969"
NH_00010,Bellary Road,National Highway,trunk,1019.8,"13.016717,77.583901","13.025581,77.585125","NH_00037,NH_00061,NH_00247,URB_01973"
NH_00011,Bellary Road,National Highway,trunk,1269.1,"13.039332,77.589516","13.028597,77.586294","NH_00036,NH_00043,NH_00264,URB_01969,URB_01979,URB_02002"
NH_00012,Bellary Road,National Highway,tertiary,997.6,"13.032567,77.587693","13.041248,77.589680","URB_00601,URB_01987,URB_02021"
NH_00013,Bellary Road,National Highway,trunk,1846.2,"13.057373,77.593227","13.073527,77.592567","NH_00273,NH_00275,URB_00805,URB_02071"
NH_00014,Bellary Road,National Highway,trunk,12888.3,"13.046385,77.591604","13.046385,77.591604",
NH_00015,Bellary Road,National Highway,trunk,9605.6,"13.046548,77.591370","13.127672,77.613470","NH_00040,NH_00130,URB_02061,URB_02124"
NH_00016,Bengaluru-Mysuru Expressway,National Highway,trunk,196.0,"12.897787,77.462076","12.898799,77.463555","NH_00161,NH_00162"
NH_00017,Bengaluru-Mysuru Expressway,National Highway,motorway,412.7,"12.899060,77.464162","12.901101,77.467340","NH_00063,NH_00161,NH_00168"
NH_00018,Bengaluru-Mysuru Expressway,National Highway,motorway,156.8,"12.900986,77.467383","12.900156,77.466285",
NH_00019,Benniganahalli Flyover,National Highway,trunk,1059.9,"12.996339,77.668285","13.001491,77.663350","NH_00102,NH_00232"
NH_00020,Benniganahalli Flyover,National Highway,trunk,953.8,"13.001574,77.663488","12.996225,77.667563","NH_00098,NH_00101,URB_01171,URB_01836"
NH_00021,Bhadrappa Layout Flyover,National Highway,trunk,566.6,"13.047503,77.578644","13.047212,77.573485","NH_00109,NH_00111,URB_02041,URB_02050,URB_02052"
NH_00022,Bhadrappa Layout Flyover,National Highway,trunk,558.7,"13.047365,77.573452","13.047742,77.578434","NH_00110,NH_00112,URB_00594,URB_02040"
NH_00023,CNR Rao Underpass,National Highway,trunk,441.5,"13.012996,77.567480","13.015084,77.564016",SH_00047
NH_00024,CNR Rao Underpass,National Highway,trunk,686.6,"13.015158,77.564053","13.014326,77.567622",
NH_00025,CV Raman Road,National Highway,trunk_link,195.4,"13.014099,77.566412","13.013057,77.567518",SH_00047
NH_00026,CV Raman Road,National Highway,trunk,1957.9,"13.014153,77.565679","13.014153,77.565679",
NH_00027,Chord Road,National Highway,trunk,160.5,"12.950712,77.537500","12.952016,77.537051","NH_00029,NH_00221,SH_00242,SH_00243,SH_00244"
NH_00028,Chord Road,National Highway,trunk_link,301.4,"13.015258,77.553912","13.017769,77.553618","SH_00349,URB_01904"
NH_00029,Chord Road Flyover,National Highway,trunk,581.7,"12.952016,77.537051","12.953056,77.541666","NH_00027,SH_00242,SH_00243,SH_00244"
NH_00030,Chord Road Flyover Ramp,National Highway,trunk_link,115.3,"12.952914,77.540460","12.952626,77.541346",
NH_00031,Doctor Muthuraj Underpass,National Highway,trunk,362.5,"12.929294,77.544665","12.931376,77.542371","NH_00089,URB_01489"
NH_00032,Doctor Muthuraj Underpass,National Highway,trunk,346.4,"12.931451,77.542453","12.929336,77.544799","NH_00088,URB_01490"
NH_00033,Dr. CV Raman Road,National Highway,primary,4037.2,"13.014660,77.572799","13.014399,77.584118","NH_00236,NH_00240,NH_00241,NH_00242,SH_00082"
NH_00034,Flyover,National Highway,trunk_link,491.4,"13.045932,77.591466","13.042170,77.593777","NH_00137,NH_00271"
NH_00035,Flyover Ramp,National Highway,trunk_link,589.2,"13.043839,77.590721","13.043174,77.593025",
NH_00036,Ganga Nagar Flyover,National Highway,trunk,371.8,"13.028597,77.586294","13.025492,77.585295","NH_00009,NH_00011,URB_00736,URB_01969,URB_01979,URB_02002"
NH_00037,Ganga Nagar Flyover,National Highway,trunk,447.3,"13.025581,77.585125","13.029340,77.586353","NH_00010,NH_00040,URB_01973,URB_01987"
NH_00038,Goraguntepalya Flyover,National Highway,motorway,4532.2,"13.031987,77.534336","13.048870,77.496626",
NH_00039,Goraguntepalya Flyover,National Highway,motorway,4506.7,"13.048897,77.496957","13.032090,77.534467","NH_00136,NH_00263"
NH_00040,Hebbal Flyover,National Highway,trunk,2003.7,"13.029340,77.586353","13.046548,77.591370","NH_00015,NH_00037,NH_00130,URB_01973,URB_01987,URB_02061"
NH_00041,Hebbal Flyover,National Highway,trunk_link,704.5,"13.042705,77.590444","13.036513,77.589282","NH_00266,NH_00270"
NH_00042,Hebbal Flyover,National Highway,trunk_link,784.0,"13.039612,77.589365","13.046364,77.591249",
NH_00043,Hebbal Flyover,National Highway,trunk,927.9,"13.047304,77.591864","13.039332,77.589516","NH_00011,NH_00264"
NH_00044,Hebbal Flyover Ramp,National Highway,trunk_link,399.6,"13.041864,77.589936","13.042807,77.586856",
NH_00045,Hebbal Service Road towards Bengaluru,National Highway,trunk,953.4,"13.081670,77.593435","13.073519,77.592849","SH_00357,URB_02092,URB_02103,URB_02104"
NH_00046,Hosakerehalli Flyover,National Highway,trunk,429.4,"12.936128,77.534669","12.939405,77.532713","NH_00089,NH_00092,URB_01512,URB_01527"
NH_00047,Hosakerehalli Flyover,National Highway,trunk,458.4,"12.939521,77.532809","12.936166,77.534992","NH_00090,NH_00091,NH_00210,URB_01515,URB_01520,URB_01525"
NH_00048,Hosur Road,National Highway,trunk,15227.4,"12.902684,77.631589","12.869965,77.653485",
NH_00049,Hosur Road,National Highway,tertiary,1345.9,"12.899460,77.633341","12.889085,77.639710","URB_01354,URB_01379"
NH_00050,Hosur Road,National Highway,primary,10644.3,"12.952663,77.605233","12.929517,77.615100","NH_00007,URB_01248"
NH_00051,KEB Junction Flyover,National Highway,trunk,357.0,"12.934759,77.537602","12.933023,77.540308","NH_00088,NH_00090,URB_01507,URB_01511,URB_01515"
NH_00052,Kaderanahali Underpass,National Highway,trunk,838.9,"12.915597,77.565361","12.915545,77.565312","NH_00086,URB_01411,URB_01416"
NH_00053,Kanakapura Road,National Highway,primary,26642.9,"12.853632,77.523386","12.927303,77.576923","URB_00257,URB_00313,URB_01294"
NH_00054,Kanteerava Studio Flyover,National Highway,trunk,505.7,"13.023286,77.533198","13.018927,77.531992","NH_00099,NH_00103,URB_01946"
NH_00055,Kanteerava Studio Flyover,National Highway,trunk,675.9,"13.019144,77.531904","13.024817,77.533947","NH_00100,NH_00103,NH_00249"
NH_00056,Kuvempu Underpass,National Highway,trunk,1818.4,"13.044508,77.562662","13.044612,77.562637","NH_00111,NH_00112,URB_02037"
NH_00057,Magadi Road Exit,National Highway,motorway_link,297.8,"12.990938,77.472456","12.989107,77.471666","NH_00070,NH_00071"
NH_00058,Mahadevapura Flyover,National Highway,trunk,968.9,"12.993283,77.686070","12.986002,77.690878","NH_00098,SH_00147,URB_01168,URB_01795,URB_01825"
NH_00059,Marathahalli Underpass,National Highway,trunk,1785.9,"12.944660,77.697839","12.960248,77.701270","NH_00087,URB_00155"
NH_00060,Marathahalli Underpass,National Highway,trunk,727.1,"12.959778,77.701433","12.953412,77.700335","URB_00154,URB_01166"
NH_00061,Mekhri Circle Underpass,National Highway,trunk,663.5,"13.010752,77.583793","13.016717,77.583901","NH_00010,NH_00234,NH_00247,SH_00175"
NH_00062,Mekhri Circle Underpass,National Highway,trunk,649.5,"13.016605,77.584026","13.010765,77.583899","NH_00008,NH_00009,NH_00236,NH_00248"
NH_00063,Mysore Road,National Highway,motorway,25869.1,"12.901101,77.467340","12.959528,77.555858","NH_00017,NH_00168,URB_01045"
NH_00064,NICE Expressway,National Highway,motorway,10875.8,"12.872662,77.489791","12.950297,77.537595",NH_00149
NH_00065,NICE Expressway,National Highway,motorway,10915.3,"12.950660,77.538033","12.872479,77.489908","NH_00149,NH_00221"
NH_00066,NICE Road,National Highway,motorway,7796.6,"12.851453,77.592421","12.859515,77.523005","NH_00143,NH_00147"
NH_00067,NICE Road,National Highway,motorway,6760.4,"12.859207,77.524226","12.850376,77.584619","NH_00144,NH_00148"
NH_00068,NICE Road,National Highway,motorway,4435.2,"12.875998,77.496089","12.905237,77.469376","NH_00151,NH_00168"
NH_00069,NICE Road,National Highway,motorway,4442.4,"12.906335,77.469148","12.877033,77.495869","NH_00155,NH_00171"
NH_00070,NICE Road,National Highway,motorway_link,338.6,"12.989107,77.471666","12.991889,77.472655",NH_00057
NH_00071,NICE Road,National Highway,motorway,235.7,"12.990938,77.472456","12.993013,77.472898","NH_00057,NH_00229"
NH_00072,NICE Road,National Highway,motorway,161.0,"12.992816,77.473030","12.991397,77.472736",NH_00228
NH_00073,Nagarabhavi Circle Flyover,National Highway,trunk,1307.9,"12.968527,77.512701","12.959263,77.516616","NH_00076,NH_00095,URB_01606,URB_01612,URB_01643"
NH_00074,Nagarabhavi Circle Flyover,National Highway,trunk,1754.8,"12.958826,77.516763","12.972014,77.512727","NH_00075,NH_00096,URB_00160,URB_01604,URB_01609,URB_01654,URB_01683"
NH_00075,Nagarabhavi Underpass,National Highway,trunk,1005.5,"12.951785,77.520832","12.958826,77.516763","NH_00074,NH_00093,URB_01604,URB_01609"
NH_00076,Nagarabhavi Underpass,National Highway,trunk,1043.9,"12.959263,77.516616","12.951887,77.521017","NH_00073,NH_00094,URB_00054,URB_01597,URB_01606,URB_01612"
NH_00077,Nagawara Flyover,National Highway,trunk,552.7,"13.041214,77.622295","13.038156,77.625918","NH_00105,URB_02017,URB_02020"
NH_00078,Nagawara Flyover,National Highway,trunk,946.0,"13.037915,77.625890","13.040945,77.618716","NH_00104,NH_00283,URB_00724"
NH_00079,Nayandahalli Underpass,National Highway,tertiary,650.7,"12.945933,77.526687","12.945721,77.527040","NH_00081,NH_00092,NH_00219"
NH_00080,Nayandahalli Underpass,National Highway,trunk,328.5,"12.947624,77.524314","12.946033,77.526718","NH_00082,NH_00094,NH_00220,URB_01557"
NH_00081,Nayandhalli Flyover,National Highway,trunk,447.6,"12.943908,77.530118","12.945933,77.526687","NH_00079,NH_00219"
NH_00082,Nayandhalli Flyover,National Highway,trunk,449.9,"12.946033,77.526718","12.943984,77.530172","NH_00080,NH_00220,URB_01540"
NH_00083,Old Madras Road,National Highway,trunk,7141.4,"13.005017,77.684660","13.019384,77.708522","NH_00133,URB_00543,URB_01853"
NH_00084,Outer Ring Road,National Highway,secondary,3579.6,"12.906306,77.591954","12.906102,77.596525",URB_00065
NH_00085,Outer Ring Road,National Highway,trunk,3983.8,"12.906465,77.573255","12.906403,77.580403",
NH_00086,Outer Ring Road,National Highway,trunk,6682.0,"12.928061,77.546277","12.915597,77.565361","NH_00052,URB_01416,URB_01477"
NH_00087,Outer Ring Road,National Highway,primary,25984.9,"12.916824,77.599870","12.944660,77.697839","NH_00006,NH_00059"
NH_00088,Outer Ring Road,National Highway,trunk,290.8,"12.933023,77.540308","12.931451,77.542453","NH_00032,NH_00051,URB_01490,URB_01507"
NH_00089,Outer Ring Road,National Highway,trunk,1012.8,"12.931376,77.542371","12.936128,77.534669","NH_00031,NH_00046,URB_01489,URB_01512"
NH_00090,Outer Ring Road,National Highway,trunk,332.6,"12.936166,77.534992","12.934759,77.537602","NH_00047,NH_00051,URB_01511,URB_01515,URB_01520"
NH_00091,Outer Ring Road,National Highway,trunk,924.9,"12.945369,77.528016","12.939521,77.532809","NH_00047,NH_00210,URB_01525"
NH_00092,Outer Ring Road,National Highway,tertiary,1000.6,"12.939405,77.532713","12.945721,77.527040","NH_00046,NH_00079,NH_00219,URB_01527"
NH_00093,Outer Ring Road,National Highway,trunk,641.9,"12.947283,77.524330","12.951785,77.520832",NH_00075
NH_00094,Outer Ring Road,National Highway,trunk,605.1,"12.951887,77.521017","12.947624,77.524314","NH_00076,NH_00080,URB_00054,URB_01557,URB_01597"
NH_00095,Outer Ring Road,National Highway,trunk,1190.2,"12.978718,77.515322","12.968527,77.512701","NH_00073,NH_00131,URB_01643,URB_01706"
NH_00096,Outer Ring Road,National Highway,trunk,825.1,"12.972014,77.512727","12.978950,77.515198","NH_00074,NH_00132,URB_00160,URB_01654,URB_01683,URB_01708"
NH_00097,Outer Ring Road,National Highway,trunk,10000.6,"12.967407,77.701983","12.967407,77.701983",
NH_00098,Outer Ring Road,National Highway,trunk,2559.8,"12.996225,77.667563","12.993283,77.686070","NH_00020,NH_00058,URB_01795,URB_01825"
NH_00099,Outer Ring Road,National Highway,trunk,3526.9,"13.018927,77.531992","12.990550,77.520635","NH_00054,NH_00131,URB_01769,URB_01787"
NH_00100,Outer Ring Road,National Highway,trunk,3054.0,"12.994303,77.521763","13.019144,77.531904","NH_00055,NH_00132,NH_00249"
NH_00101,Outer Ring Road,National Highway,trunk,4619.2,"13.026452,77.637121","13.001574,77.663488","NH_00020,NH_00116,NH_00257,URB_01171,URB_01836"
NH_00102,Outer Ring Road,National Highway,trunk,4701.9,"13.001491,77.663350","13.026555,77.635907","NH_00019,NH_00115,NH_00232,NH_00256"
NH_00103,Outer Ring Road,National Highway,trunk,1616.6,"13.024817,77.533947","13.023286,77.533198","NH_00054,NH_00055,URB_01946"
NH_00104,Outer Ring Road,National Highway,trunk,1149.3,"13.029309,77.631317","13.037915,77.625890","NH_00078,NH_00115,NH_00258"
NH_00105,Outer Ring Road,National Highway,trunk,1104.4,"13.038156,77.625918","13.029866,77.631210","NH_00077,NH_00116,NH_00260,URB_02017,URB_02020"
NH_00106,Outer Ring Road,National Highway,trunk,5395.0,"13.029868,77.538489","13.028887,77.540043",
NH_00107,Outer Ring Road,National Highway,tertiary,1155.8,"13.040888,77.623829","13.042050,77.613593",URB_00744
NH_00108,Outer Ring Road,National Highway,trunk,330.1,"13.041174,77.619841","13.041321,77.622824","NH_00284,URB_02026,URB_02030"
NH_00109,Outer Ring Road,National Highway,trunk,3720.0,"13.042827,77.610349","13.047503,77.578644","NH_00021,NH_00283,URB_02041,URB_02052"
NH_00110,Outer Ring Road,National Highway,trunk,4138.1,"13.047742,77.578434","13.043038,77.610514","NH_00022,NH_00284,URB_00594,URB_02030,URB_02035,URB_02040"
NH_00111,Outer Ring Road,National Highway,trunk,1246.7,"13.047212,77.573485","13.044508,77.562662","NH_00021,NH_00056,URB_02037,URB_02050"
NH_00112,Outer Ring Road,National Highway,trunk,1251.1,"13.044612,77.562637","13.047365,77.573452","NH_00022,NH_00056,URB_00594,URB_02037"
NH_00113,Outer Ring Road Underpass,National Highway,trunk,546.7,"12.906294,77.587623","12.906339,77.582579",NH_00170
NH_00114,Outer Ring Road Underpass,National Highway,trunk,532.8,"12.906418,77.582735","12.906363,77.587641","NH_00001,URB_00190"
NH_00115,Outer Ring Road Underpass,National Highway,trunk,616.5,"13.026555,77.635907","13.029309,77.631317","NH_00102,NH_00104,NH_00256,NH_00258"
NH_00116,Outer Ring Road Underpass,National Highway,trunk,789.5,"13.029866,77.631210","13.026452,77.637121","NH_00101,NH_00105,NH_00257,NH_00260"
NH_00117,Outer ring road,National Highway,trunk_link,240.6,"12.994827,77.664433","12.996826,77.664413","URB_01807,URB_01819"
NH_00118,Palace Road,National Highway,primary,1244.9,"12.984565,77.588348","12.995169,77.589758","SH_00139,SH_00170,URB_00677,URB_00941,URB_01744,URB_01813"
NH_00119,Ramp to Hosur road joining Ragigudda Silkboard Double Decker Flyover,National Highway,primary_link,288.5,"12.916551,77.620183","12.918769,77.621420","SH_00176,SH_00195,URB_01429"
NH_00120,Sankey Road,National Highway,primary,75.5,"12.996289,77.584681","12.996951,77.584527","NH_00122,NH_00124,SH_00368,URB_01101"
NH_00121,Sankey Road,National Highway,primary,944.4,"12.998654,77.584198","12.998746,77.584274","NH_00122,NH_00123,SH_00332"
NH_00122,Sankey Road Flyover,National Highway,primary,192.7,"12.996951,77.584527","12.998654,77.584198","NH_00120,NH_00121,SH_00368"
NH_00123,Sankey Road Flyover,National Highway,primary,195.9,"12.998746,77.584274","12.997015,77.584597","NH_00121,NH_00125,SH_00327,SH_00332"
NH_00124,Sankey Road Underpass,National Highway,primary,274.2,"12.993854,77.585075","12.996289,77.584681","NH_00120,URB_00913,URB_01101,URB_01804"
NH_00125,Sankey Road Underpass,National Highway,primary,373.2,"12.997015,77.584597","12.993720,77.585223","NH_00123,SH_00327"
NH_00126,Service Road,National Highway,tertiary,1856.9,"12.901055,77.632365","12.915242,77.623651","NH_00129,URB_01379,URB_01381"
NH_00127,Service Road,National Highway,trunk_link,455.0,"12.917506,77.623134","12.917407,77.627129","NH_00182,SH_00196,URB_01432"
NH_00128,Srinagar - Kanyakumari Highway,National Highway,trunk,21.6,"12.914595,77.624202","12.914642,77.624009",
NH_00129,Srinagar - Kanyakumari Highway,National Highway,trunk,465.4,"12.915242,77.623651","12.916016,77.623803",NH_00126
NH_00130,Srinagar - Kanyakumari Highway,National Highway,trunk,449.5,"13.042752,77.590143","13.046548,77.591370","NH_00015,NH_00040,URB_02061"
NH_00131,Sumanahalli Flyover,National Highway,trunk,1474.3,"12.990550,77.520635","12.978718,77.515322","NH_00095,NH_00099,URB_01706,URB_01769,URB_01787"
NH_00132,Sumanahalli Flyover,National Highway,trunk,1890.8,"12.978950,77.515198","12.994303,77.521763","NH_00096,NH_00100,URB_01708"
NH_00133,Tin Factory Flyover,National Highway,trunk,1887.6,"12.997015,77.669389","13.005017,77.684660","NH_00083,URB_01853"
NH_00134,Tin Factory Flyover,National Highway,trunk,1872.6,"13.004926,77.684862","12.996929,77.669674",
NH_00135,Tumkur Road,National Highway,secondary,11986.4,"13.030379,77.537227","13.026428,77.544256",NH_00261
NH_00136,Tumkur Road,National Highway,trunk,4545.7,"13.048897,77.496957","13.032090,77.534467","NH_00039,NH_00263"
NH_00137,Tumkur Road Exit,National Highway,trunk,396.6,"13.045932,77.591466","13.042690,77.590505","NH_00034,NH_00271"
NH_00138,Unnamed Road,National Highway,motorway_link,186.7,"12.849744,77.589912","12.849288,77.588287","NH_00005,NH_00139,NH_00140,NH_00141"
NH_00139,Unnamed Road,National Highway,motorway_link,181.9,"12.849760,77.588277","12.849744,77.589912","NH_00138,NH_00140,NH_00141,URB_01277"
NH_00140,Unnamed Road,National Highway,motorway_link,203.0,"12.850249,77.591514","12.849744,77.589912","NH_00138,NH_00139,NH_00141,NH_00142"
NH_00141,Unnamed Road,National Highway,motorway_link,274.9,"12.849744,77.589912","12.850758,77.592192","NH_00138,NH_00139,NH_00140,NH_00145"
NH_00142,Unnamed Road,National Highway,motorway_link,30.9,"12.850379,77.591766","12.850249,77.591514","NH_00140,NH_00143"
